MIMETYPE;FILETYPE;FIELD_ISLANDORA_MODEL;MEDIATYPE;FIELD_MEDIA_USE;MEDIA_BUNDLE_TARGET_ID;RELATION
text/praat-textgrid;annotation;908;annotation;898;annotation;field_media_file
text/x-chat;annotation;908;annotation;898;annotation;field_media_file
text/x-eaf+xml;annotation;908;annotation;898;annotation;field_media_file
text/x-pfsx+xml;annotation;908;annotation;898;file;field_media_file
text/x-toolbox-text;annotation;908;annotation;898;annotation;field_media_file
application/x-gzip-compressed;archive;908;archive;894;file;field_media_file
application/zip;archive;908;archive;894;file;field_media_file
audio/x-wav;audio;908;audio;894;audio;field_media_audio_file
application/pdf;document;685;document;675;document;field_media_document
application/vnd.oasis.opendocument.presentation;document;908;document;894;document;field_media_document
application/vnd.oasis.opendocument.spreadsheet;document;908;document;894;document;field_media_document
application/vnd.oasis.opendocument.text;document;908;document;894;document;field_media_document
application/dicom;image;908;image;894;image;field_media_image
application/spss-sav;file;908;file;894;file;field_media_file
application/vnd.google-earth.kml+xml;file;908;file;894;file;field_media_file
application/x-bai;file;908;file;894;file;field_media_file
application/x-bam;file;908;file;894;file;field_media_file
application/x-brainvision-data;file;908;file;894;file;field_media_file
application/x-ehst;file;908;file;894;file;field_media_file
application/x-ehtp;file;908;file;894;file;field_media_file
application/x-matlab-data;file;908;file;894;file;field_media_file
application/x-neuroscan-img;image;908;image;894;image;field_media_image
application/x-neuroscan-img-hdr;file;908;file;894;file;field_media_file
application/x-spss-spv;file;908;file;894;file;field_media_file
text/praat-pitch;file;908;file;894;file;field_media_file
text/x-brainvision-header;file;908;file;894;file;field_media_file
text/x-brainvision-marker;file;908;file;894;file;field_media_file
text/x-matlab;file;908;file;894;file;field_media_file
text/x-neuroscan-hfinf;file;908;file;894;file;field_media_file
text/x-presentation-script;file;908;file;894;file;field_media_file
text/x-presentation-settings;file;908;file;894;file;field_media_file
text/x-toolbox-language;file;908;file;894;file;field_media_file
Text/x-toolbox-sortorder;file;908;file;894;file;field_media_file
text/x-toolbox-type;file;908;file;894;file;field_media_file
image/jpeg;image;908;image;894;image;field_media_image
image/png;image;908;image;894;image;field_media_image
image/svg+xml;image;908;image;894;image;field_media_image
image/tiff;image;908;image;894;image;field_media_image
text/x-cut;lexicon;908;lexicon;894;file;field_media_file
text/x-toolbox-lexicon;lexicon;908;lexicon;894;file;field_media_file
text/csv;text;908;text;894;text;field_media_file
text/html;text;908;text;894;text;field_media_file
text/plain;text;908;text;894;text;field_media_file
text/x-R;text;908;text;894;text;field_media_file
text/x-r-markdown;text;908;text;894;text;field_media_file
text/xml;text;908;text;894;text;field_media_file
video/mp4;video;908;video;894;video;field_media_video_file
video/x-mpeg1;video;908;video;894;video;field_media_video_file
video/x-mpeg2;video;908;video;894;video;field_media_video_file
