mimetype	doctype
text/praat-textgrid	annotation
text/x-chat	annotation
text/x-eaf+xml	annotation
text/x-pfsx+xml	annotation
text/x-toolbox-text	annotation
application/x-gzip-compressed	archive
application/zip	archive
audio/x-wav	audio
application/pdf	document
application/vnd.oasis.opendocument.presentation	document
application/vnd.oasis.opendocument.spreadsheet	document
application/vnd.oasis.opendocument.text	document
application/dicom	file
application/spss-sav	file
application/vnd.google-earth.kml+xml	file
application/x-bai	file
application/x-bam	file
application/x-brainvision-data	file
application/x-ehst	file
application/x-ehtp	file
application/x-matlab-data	file
application/x-neuroscan-img	file
application/x-neuroscan-img-hdr	file
application/x-spss-spv	file
text/praat-pitch	file
text/x-brainvision-header	file
text/x-brainvision-marker	file
text/x-matlab	file
text/x-neuroscan-hfinf	file
text/x-presentation-script	file
text/x-presentation-settings	file
text/x-toolbox-language	file
Text/x-toolbox-sortorder	file
text/x-toolbox-type	file
image/jpeg	image
image/png	image
image/svg+xml	image
image/tiff	image
text/x-cut	lexicon
text/x-toolbox-lexicon	lexicon
text/csv	text
text/html	text
text/plain	text
text/x-R	text
text/x-r-markdown	text
text/xml	text
video/mp4	video
video/x-mpeg1	video
video/x-mpeg2	video
